date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:25:32	27801/27801	---MCZ	200	added ('OK')	image/jpeg	etag:W/%22604ad95a-6c99%22	https://www.attaqwa.co.id/wp-content/uploads/2021/03/28.jpg	D:/Pelatihan%20DIGIMAR/Alquran/www.attaqwa.co.id/wp-content/uploads/2021/03/28.jpg	(from https://www.attaqwa.co.id/)
13:25:32	20460/20460	---MCZ	200	added ('OK')	image/jpeg	etag:W/%22604ad95a-4fec%22	https://www.attaqwa.co.id/wp-content/uploads/2021/03/26.jpg	D:/Pelatihan%20DIGIMAR/Alquran/www.attaqwa.co.id/wp-content/uploads/2021/03/26.jpg	(from https://www.attaqwa.co.id/)
13:25:32	26118/26118	---MCZ	200	added ('OK')	image/jpeg	etag:W/%22604ad95b-6606%22	https://www.attaqwa.co.id/wp-content/uploads/2021/03/27.jpg	D:/Pelatihan%20DIGIMAR/Alquran/www.attaqwa.co.id/wp-content/uploads/2021/03/27.jpg	(from https://www.attaqwa.co.id/)
13:25:33	23569/23569	---MCZ	200	added ('OK')	image/jpeg	etag:W/%22604ad95b-5c11%22	https://www.attaqwa.co.id/wp-content/uploads/2021/03/16.jpg	D:/Pelatihan%20DIGIMAR/Alquran/www.attaqwa.co.id/wp-content/uploads/2021/03/16.jpg	(from https://www.attaqwa.co.id/)
13:25:33	19461/19461	---MCZ	200	added ('OK')	image/jpeg	etag:W/%22604ad95b-4c05%22	https://www.attaqwa.co.id/wp-content/uploads/2021/03/17.jpg	D:/Pelatihan%20DIGIMAR/Alquran/www.attaqwa.co.id/wp-content/uploads/2021/03/17.jpg	(from https://www.attaqwa.co.id/)
13:25:33	27080/27080	---MCZ	200	added ('OK')	image/jpeg	etag:W/%22604ad95b-69c8%22	https://www.attaqwa.co.id/wp-content/uploads/2021/03/19.jpg	D:/Pelatihan%20DIGIMAR/Alquran/www.attaqwa.co.id/wp-content/uploads/2021/03/19.jpg	(from https://www.attaqwa.co.id/)
13:25:33	23284/23284	---MCZ	200	added ('OK')	image/jpeg	etag:W/%22604ad95b-5af4%22	https://www.attaqwa.co.id/wp-content/uploads/2021/03/21.jpg	D:/Pelatihan%20DIGIMAR/Alquran/www.attaqwa.co.id/wp-content/uploads/2021/03/21.jpg	(from https://www.attaqwa.co.id/)
13:25:34	22229/22229	---MCZ	200	added ('OK')	image/jpeg	etag:W/%22604ad95b-56d5%22	https://www.attaqwa.co.id/wp-content/uploads/2021/03/22.jpg	D:/Pelatihan%20DIGIMAR/Alquran/www.attaqwa.co.id/wp-content/uploads/2021/03/22.jpg	(from https://www.attaqwa.co.id/)
13:25:34	18931/18931	---MCZ	200	added ('OK')	image/jpeg	etag:W/%22604ad95b-49f3%22	https://www.attaqwa.co.id/wp-content/uploads/2021/03/29.jpg	D:/Pelatihan%20DIGIMAR/Alquran/www.attaqwa.co.id/wp-content/uploads/2021/03/29.jpg	(from https://www.attaqwa.co.id/)
13:25:35	23253/23253	---MCZ	200	added ('OK')	image/jpeg	etag:W/%22604f01d8-5ad5%22	https://www.attaqwa.co.id/wp-content/uploads/2021/03/3.jpg	D:/Pelatihan%20DIGIMAR/Alquran/www.attaqwa.co.id/wp-content/uploads/2021/03/3.jpg	(from https://www.attaqwa.co.id/)
13:25:35	17374/17374	---MCZ	200	added ('OK')	image/jpeg	etag:W/%22604f01d9-43de%22	https://www.attaqwa.co.id/wp-content/uploads/2021/03/4.jpg	D:/Pelatihan%20DIGIMAR/Alquran/www.attaqwa.co.id/wp-content/uploads/2021/03/4.jpg	(from https://www.attaqwa.co.id/)
13:25:35	29597/29597	---MCZ	200	added ('OK')	image/jpeg	etag:W/%22604f01da-739d%22	https://www.attaqwa.co.id/wp-content/uploads/2021/03/5.jpg	D:/Pelatihan%20DIGIMAR/Alquran/www.attaqwa.co.id/wp-content/uploads/2021/03/5.jpg	(from https://www.attaqwa.co.id/)
13:25:35	30291/30291	---MCZ	200	added ('OK')	image/jpeg	etag:W/%22604f01db-7653%22	https://www.attaqwa.co.id/wp-content/uploads/2021/03/6.jpg	D:/Pelatihan%20DIGIMAR/Alquran/www.attaqwa.co.id/wp-content/uploads/2021/03/6.jpg	(from https://www.attaqwa.co.id/)
13:25:35	28517/28517	---MCZ	200	added ('OK')	image/jpeg	etag:W/%22604f01db-6f65%22	https://www.attaqwa.co.id/wp-content/uploads/2021/03/7.jpg	D:/Pelatihan%20DIGIMAR/Alquran/www.attaqwa.co.id/wp-content/uploads/2021/03/7.jpg	(from https://www.attaqwa.co.id/)
13:25:36	23457/23457	---MCZ	200	added ('OK')	image/jpeg	etag:W/%22604f01dc-5ba1%22	https://www.attaqwa.co.id/wp-content/uploads/2021/03/8.jpg	D:/Pelatihan%20DIGIMAR/Alquran/www.attaqwa.co.id/wp-content/uploads/2021/03/8.jpg	(from https://www.attaqwa.co.id/)
13:25:36	21317/21317	---MCZ	200	added ('OK')	image/jpeg	etag:W/%22604f01dd-5345%22	https://www.attaqwa.co.id/wp-content/uploads/2021/03/9.jpg	D:/Pelatihan%20DIGIMAR/Alquran/www.attaqwa.co.id/wp-content/uploads/2021/03/9.jpg	(from https://www.attaqwa.co.id/)
13:25:36	20115/20115	---MCZ	200	added ('OK')	image/jpeg	etag:W/%22604f01de-4e93%22	https://www.attaqwa.co.id/wp-content/uploads/2021/03/10.jpg	D:/Pelatihan%20DIGIMAR/Alquran/www.attaqwa.co.id/wp-content/uploads/2021/03/10.jpg	(from https://www.attaqwa.co.id/)
13:25:36	21609/21609	---MCZ	200	added ('OK')	image/jpeg	etag:W/%22604f01de-5469%22	https://www.attaqwa.co.id/wp-content/uploads/2021/03/11.jpg	D:/Pelatihan%20DIGIMAR/Alquran/www.attaqwa.co.id/wp-content/uploads/2021/03/11.jpg	(from https://www.attaqwa.co.id/)
13:25:36	26016/26016	---MCZ	200	added ('OK')	image/jpeg	etag:W/%22604f01df-65a0%22	https://www.attaqwa.co.id/wp-content/uploads/2021/03/12.jpg	D:/Pelatihan%20DIGIMAR/Alquran/www.attaqwa.co.id/wp-content/uploads/2021/03/12.jpg	(from https://www.attaqwa.co.id/)
